codigo,titulo,modalidade,nome
25632,CONSULTOR CONTROL M,,José Vieira
25529,CONSULTOR CONTROL M,,Srta. Isabela Cavalcante
25364,2021-2607395-PeopleSoft Application Engine-Domain Consultant,,Sra. Yasmin Fernandes
25360,2021-2607395-PeopleSoft Application Engine-Domain Consultant,,Alexia Barbosa
26338,2021-2605708-Microfocus Application Life Cycle Management - HP Quality Center-Engineering Lead,,Arthur Almeida
24645,2021-2605708-Microfocus Application Life Cycle Management - HP Quality Center-Engineering Lead,,Dante Sampaio
26361,2021-2605711-Microfocus QTP - UFT Automation Testing,,Ana Luiza Vieira
26205,2021-2605711-Microfocus QTP - UFT Automation Testing,,Isabella da Cruz
26003,2021-2605711-Microfocus QTP - UFT Automation Testing,,Maria Helena Peixoto
25509,2021-2605711-Microfocus QTP - UFT Automation Testing,,Dra. Gabrielly Cassiano
23913,2021-2605711-Microfocus QTP - UFT Automation Testing,,Sra. Maria Sophia Sampaio
21458,2021-2605711-Microfocus QTP - UFT Automation Testing,,Eloá da Mota
13951,2021-2605711-Microfocus QTP - UFT Automation Testing,,Luiz Gustavo Dias
12819,2021-2605711-Microfocus QTP - UFT Automation Testing,,Sr. Benjamin Sampaio
11132,2021-2605711-Microfocus QTP - UFT Automation Testing,,Bruna Abreu
8838,2021-2605711-Microfocus QTP - UFT Automation Testing,,Gael Nunes
26338,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT,Arthur Almeida
25983,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT,Srta. Maria Eduarda Farias
25519,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT,Pietro Nunes
25454,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT,Bárbara Nogueira
25445,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT,Sarah da Mota
23387,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT,Brenda Azevedo
22977,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT,Lunna Alves
25362,Gestão De Incidentes Field Support - 11755457,,Sr. Cauã Vargas
